"CAINC1 County and MSA personal income summary: personal income, population, per capita personal income",,,,
"CAINC1 County and MSA personal income summary: personal income, population, per capita personal income",,,,
County,,,,
GeoFips,GeoName,LineCode,Description,2021
40107,"Okfuskee, OK",3,Per capita personal income (dollars) 2,38087
40109,"Oklahoma, OK",1,Personal income (thousands of dollars),51408475
40109,"Oklahoma, OK",2,Population (persons) 1,799845
40109,"Oklahoma, OK",3,Per capita personal income (dollars) 2,64273
40111,"Okmulgee, OK",1,Personal income (thousands of dollars),1559068
40111,"Okmulgee, OK",2,Population (persons) 1,36848
40111,"Okmulgee, OK",3,Per capita personal income (dollars) 2,42311
40113,"Osage, OK",1,Personal income (thousands of dollars),1994613
40113,"Osage, OK",2,Population (persons) 1,45882
40113,"Osage, OK",3,Per capita personal income (dollars) 2,43473
40115,"Ottawa, OK",1,Personal income (thousands of dollars),1420075
40115,"Ottawa, OK",2,Population (persons) 1,30380
40115,"Ottawa, OK",3,Per capita personal income (dollars) 2,46744
40117,"Pawnee, OK",1,Personal income (thousands of dollars),681176
40117,"Pawnee, OK",2,Population (persons) 1,15707
40117,"Pawnee, OK",3,Per capita personal income (dollars) 2,43368
40119,"Payne, OK",1,Personal income (thousands of dollars),3637177
40119,"Payne, OK",2,Population (persons) 1,82163
40119,"Payne, OK",3,Per capita personal income (dollars) 2,44268
40121,"Pittsburg, OK",1,Personal income (thousands of dollars),1848899
40121,"Pittsburg, OK",2,Population (persons) 1,43630
40121,"Pittsburg, OK",3,Per capita personal income (dollars) 2,42377
40123,"Pontotoc, OK",1,Personal income (thousands of dollars),1975233
40123,"Pontotoc, OK",2,Population (persons) 1,38184
40123,"Pontotoc, OK",3,Per capita personal income (dollars) 2,51729
40125,"Pottawatomie, OK",1,Personal income (thousands of dollars),3666397
40125,"Pottawatomie, OK",2,Population (persons) 1,73045
40125,"Pottawatomie, OK",3,Per capita personal income (dollars) 2,50194
40127,"Pushmataha, OK",1,Personal income (thousands of dollars),438554
40127,"Pushmataha, OK",2,Population (persons) 1,10767
40127,"Pushmataha, OK",3,Per capita personal income (dollars) 2,40731
40129,"Roger Mills, OK",1,Personal income (thousands of dollars),165853
40129,"Roger Mills, OK",2,Population (persons) 1,3365
40129,"Roger Mills, OK",3,Per capita personal income (dollars) 2,49288
40131,"Rogers, OK",1,Personal income (thousands of dollars),5047776
40131,"Rogers, OK",2,Population (persons) 1,96871
40131,"Rogers, OK",3,Per capita personal income (dollars) 2,52108
40133,"Seminole, OK",1,Personal income (thousands of dollars),990099
40133,"Seminole, OK",2,Population (persons) 1,23542
40133,"Seminole, OK",3,Per capita personal income (dollars) 2,42057
40135,"Sequoyah, OK",1,Personal income (thousands of dollars),1691364
40135,"Sequoyah, OK",2,Population (persons) 1,39494
40135,"Sequoyah, OK",3,Per capita personal income (dollars) 2,42826
40137,"Stephens, OK",1,Personal income (thousands of dollars),2042798
40137,"Stephens, OK",2,Population (persons) 1,43110
40137,"Stephens, OK",3,Per capita personal income (dollars) 2,47386
40139,"Texas, OK",1,Personal income (thousands of dollars),1284863
40139,"Texas, OK",2,Population (persons) 1,20849
40139,"Texas, OK",3,Per capita personal income (dollars) 2,61627
40141,"Tillman, OK",1,Personal income (thousands of dollars),286564
40141,"Tillman, OK",2,Population (persons) 1,7040
40141,"Tillman, OK",3,Per capita personal income (dollars) 2,40705
40143,"Tulsa, OK",1,Personal income (thousands of dollars),45117464
40143,"Tulsa, OK",2,Population (persons) 1,674051
40143,"Tulsa, OK",3,Per capita personal income (dollars) 2,66935
40145,"Wagoner, OK",1,Personal income (thousands of dollars),4108546
40145,"Wagoner, OK",2,Population (persons) 1,84230
40145,"Wagoner, OK",3,Per capita personal income (dollars) 2,48778
40147,"Washington, OK",1,Personal income (thousands of dollars),4388001
40147,"Washington, OK",2,Population (persons) 1,52903
40147,"Washington, OK",3,Per capita personal income (dollars) 2,82944
40149,"Washita, OK",1,Personal income (thousands of dollars),441717
40149,"Washita, OK",2,Population (persons) 1,10899
40149,"Washita, OK",3,Per capita personal income (dollars) 2,40528
40151,"Woods, OK",1,Personal income (thousands of dollars),411457
40151,"Woods, OK",2,Population (persons) 1,8623
40151,"Woods, OK",3,Per capita personal income (dollars) 2,47716
40153,"Woodward, OK",1,Personal income (thousands of dollars),842095
40153,"Woodward, OK",2,Population (persons) 1,20241
40153,"Woodward, OK",3,Per capita personal income (dollars) 2,41603
48001,"Anderson, TX",1,Personal income (thousands of dollars),2525131
48001,"Anderson, TX",2,Population (persons) 1,58302
48001,"Anderson, TX",3,Per capita personal income (dollars) 2,43311
48003,"Andrews, TX",1,Personal income (thousands of dollars),947082
48003,"Andrews, TX",2,Population (persons) 1,18411
48003,"Andrews, TX",3,Per capita personal income (dollars) 2,51441
48005,"Angelina, TX",1,Personal income (thousands of dollars),4048433
48005,"Angelina, TX",2,Population (persons) 1,86730
48005,"Angelina, TX",3,Per capita personal income (dollars) 2,46679
48007,"Aransas, TX",1,Personal income (thousands of dollars),1491836
48007,"Aransas, TX",2,Population (persons) 1,24510
48007,"Aransas, TX",3,Per capita personal income (dollars) 2,60866
48009,"Archer, TX",1,Personal income (thousands of dollars),524792
48009,"Archer, TX",2,Population (persons) 1,8702
48009,"Archer, TX",3,Per capita personal income (dollars) 2,60307
48011,"Armstrong, TX",1,Personal income (thousands of dollars),112720
48011,"Armstrong, TX",2,Population (persons) 1,1840
48011,"Armstrong, TX",3,Per capita personal income (dollars) 2,61261
48013,"Atascosa, TX",1,Personal income (thousands of dollars),2278436
48013,"Atascosa, TX",2,Population (persons) 1,49817
48013,"Atascosa, TX",3,Per capita personal income (dollars) 2,45736
48015,"Austin, TX",1,Personal income (thousands of dollars),1833605
48015,"Austin, TX",2,Population (persons) 1,30431
48015,"Austin, TX",3,Per capita personal income (dollars) 2,60255
48017,"Bailey, TX",1,Personal income (thousands of dollars),370418
48017,"Bailey, TX",2,Population (persons) 1,6803
48017,"Bailey, TX",3,Per capita personal income (dollars) 2,54449
48019,"Bandera, TX",1,Personal income (thousands of dollars),1255343
48019,"Bandera, TX",2,Population (persons) 1,21528
48019,"Bandera, TX",3,Per capita personal income (dollars) 2,58312
48021,"Bastrop, TX",1,Personal income (thousands of dollars),4443311
48021,"Bastrop, TX",2,Population (persons) 1,102276
48021,"Bastrop, TX",3,Per capita personal income (dollars) 2,43444
48023,"Baylor, TX",1,Personal income (thousands of dollars),203833
48023,"Baylor, TX",2,Population (persons) 1,3458
48023,"Baylor, TX",3,Per capita personal income (dollars) 2,58945
48025,"Bee, TX",1,Personal income (thousands of dollars),1052967
48025,"Bee, TX",2,Population (persons) 1,30836
